country,year,gdp,population,currency
USA,2024,16780,23,USD
UK,2024,5134,232,GBP
Germany,2024,3323,221,EUR
France,2024,12816,227,EUR
Spain,2024,7739,48,EUR
Italy,2024,7162,21,EUR
USA,2024,12393,68,USD
UK,2024,4800,98,GBP
Germany,2024,14829,270,EUR
France,2024,12558,159,EUR
Spain,2024,7366,96,EUR
Italy,2024,1776,100,EUR
USA,2024,16694,137,USD
UK,2024,16062,236,GBP
Germany,2024,5535,261,EUR
France,2024,4779,126,EUR
Spain,2024,14350,349,EUR
Italy,2024,13121,100,EUR
USA,2024,19501,317,USD
UK,2024,17984,136,GBP
Germany,2024,13409,73,EUR
France,2024,2137,31,EUR
Spain,2024,7022,34,EUR
Italy,2024,17569,330,EUR
USA,2024,9379,146,USD
UK,2024,13806,100,GBP
Germany,2024,7544,162,EUR
France,2024,1046,159,EUR
Spain,2024,5485,60,EUR
Italy,2024,15427,137,EUR
USA,2024,16405,311,USD
UK,2024,2762,166,GBP
Germany,2024,8517,19,EUR
France,2024,7549,78,EUR
Spain,2024,4486,193,EUR
Italy,2024,17473,290,EUR
USA,2024,6138,160,USD
UK,2024,14805,74,GBP
Germany,2024,7535,222,EUR
France,2024,13014,41,EUR
Spain,2024,7079,338,EUR
Italy,2024,3638,207,EUR
USA,2024,17678,276,USD
UK,2024,8929,221,GBP
Germany,2024,11776,92,EUR
France,2024,4736,45,EUR
Spain,2024,5742,216,EUR
Italy,2024,7448,237,EUR
USA,2024,8167,204,USD
UK,2024,2955,95,GBP
Germany,2024,16444,308,EUR
France,2024,19292,127,EUR
Spain,2024,10411,98,EUR
Italy,2024,14102,25,EUR
USA,2024,18013,223,USD
UK,2024,5590,269,GBP
Germany,2024,2975,223,EUR
France,2024,6636,140,EUR
Spain,2024,14219,64,EUR
Italy,2024,1049,276,EUR
USA,2024,10376,293,USD
UK,2024,10067,143,GBP
Germany,2024,2991,194,EUR
France,2024,3114,106,EUR
Spain,2024,9123,309,EUR
Italy,2024,6821,314,EUR
USA,2024,8179,96,USD
UK,2024,2921,252,GBP
Germany,2024,5695,247,EUR
France,2024,7882,85,EUR
Spain,2024,16393,346,EUR
Italy,2024,6521,275,EUR
USA,2024,18938,276,USD
UK,2024,3935,348,GBP
Germany,2024,10480,109,EUR
France,2024,8260,17,EUR
Spain,2024,7699,204,EUR
Italy,2024,3936,265,EUR
USA,2024,4306,215,USD
UK,2024,13902,110,GBP
Germany,2024,12742,230,EUR
France,2024,19475,113,EUR
Spain,2024,17148,314,EUR
Italy,2024,1325,320,EUR
USA,2024,16932,180,USD
UK,2024,12022,293,GBP
Germany,2024,7433,152,EUR
France,2024,16244,142,EUR
Spain,2024,14246,77,EUR
Italy,2024,18804,154,EUR
USA,2024,17406,175,USD
UK,2024,11924,30,GBP
Germany,2024,10055,89,EUR
France,2024,10693,205,EUR
Spain,2024,6456,227,EUR
Italy,2024,1510,321,EUR
USA,2024,12671,315,USD
UK,2024,14016,10,GBP
Germany,2024,10611,318,EUR
France,2024,19302,90,EUR
Spain,2024,17368,285,EUR
Italy,2024,9683,124,EUR
USA,2024,17294,322,USD
UK,2024,18177,326,GBP
Germany,2024,11459,140,EUR
France,2024,15322,269,EUR
Spain,2024,15283,199,EUR
Italy,2024,1064,304,EUR
USA,2024,4701,51,USD
UK,2024,7111,100,GBP
Germany,2024,11660,172,EUR
France,2024,14515,317,EUR
Spain,2024,11250,228,EUR
Italy,2024,18273,287,EUR
USA,2024,4065,86,USD
UK,2024,9789,46,GBP
Germany,2024,6076,141,EUR
France,2024,15234,60,EUR
Spain,2024,3846,130,EUR
Italy,2024,3170,83,EUR
